code	billable	short_desc	long_desc	three_digit	major	sub_chapter	chapter	ICD_MAJOR	ICD_FORMATTED	ICD_lower	concat	system	organ	histology_0	histology_1	histology_2
C028	TRUE	Malignant neoplasm of overlapping sites of tongue	Malignant neoplasm of overlapping sites of tongue	C02	Malignant neoplasm of other and unspecified parts of tongue	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C02	C02.8	c028	c028 malignant neoplasm of overlapping sites of tongue malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
C029	TRUE	Malignant neoplasm of tongue, unspecified	Malignant neoplasm of tongue, unspecified	C02	Malignant neoplasm of other and unspecified parts of tongue	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C02	C02.9	c029	c029 malignant neoplasm of tongue unspecified malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
C03	FALSE	Malignant neoplasm of gum	Malignant neoplasm of gum	C03	Malignant neoplasm of gum	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C03	C03.	c03	c03 malignant neoplasm of gum malignant neoplasms of lip oral cavity malignant neoplasm of gum		lip, oral cavity and pharynx			
C030	TRUE	Malignant neoplasm of upper gum	Malignant neoplasm of upper gum	C03	Malignant neoplasm of gum	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C03	C03.0	c030	c030 malignant neoplasm of upper gum malignant neoplasms of lip oral cavity malignant neoplasm of gum		lip, oral cavity and pharynx			
C031	TRUE	Malignant neoplasm of lower gum	Malignant neoplasm of lower gum	C03	Malignant neoplasm of gum	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C03	C03.1	c031	c031 malignant neoplasm of lower gum malignant neoplasms of lip oral cavity malignant neoplasm of gum		lip, oral cavity and pharynx			
C039	TRUE	Malignant neoplasm of gum, unspecified	Malignant neoplasm of gum, unspecified	C03	Malignant neoplasm of gum	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C03	C03.9	c039	c039 malignant neoplasm of gum unspecified malignant neoplasms of lip oral cavity malignant neoplasm of gum		lip, oral cavity and pharynx			
C04	FALSE	Malignant neoplasm of floor of mouth	Malignant neoplasm of floor of mouth	C04	Malignant neoplasm of floor of mouth	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C04	C04.	c04	c04 malignant neoplasm of floor of mouth malignant neoplasms of lip oral cavity malignant neoplasm of floor of mouth		lip, oral cavity and pharynx			
C040	TRUE	Malignant neoplasm of anterior floor of mouth	Malignant neoplasm of anterior floor of mouth	C04	Malignant neoplasm of floor of mouth	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C04	C04.0	c040	c040 malignant neoplasm of anterior floor of mouth malignant neoplasms of lip oral cavity malignant neoplasm of floor of mouth		lip, oral cavity and pharynx			
C041	TRUE	Malignant neoplasm of lateral floor of mouth	Malignant neoplasm of lateral floor of mouth	C04	Malignant neoplasm of floor of mouth	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C04	C04.1	c041	c041 malignant neoplasm of lateral floor of mouth malignant neoplasms of lip oral cavity malignant neoplasm of floor of mouth		lip, oral cavity and pharynx			
C048	TRUE	Malignant neoplasm of overlapping sites of floor of mouth	Malignant neoplasm of overlapping sites of floor of mouth	C04	Malignant neoplasm of floor of mouth	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C04	C04.8	c048	c048 malignant neoplasm of overlapping sites of floor of mouth malignant neoplasms of lip oral cavity malignant neoplasm of floor of mouth		lip, oral cavity and pharynx			
C049	TRUE	Malignant neoplasm of floor of mouth, unspecified	Malignant neoplasm of floor of mouth, unspecified	C04	Malignant neoplasm of floor of mouth	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C04	C04.9	c049	c049 malignant neoplasm of floor of mouth unspecified malignant neoplasms of lip oral cavity malignant neoplasm of floor of mouth		lip, oral cavity and pharynx			
C05	FALSE	Malignant neoplasm of palate	Malignant neoplasm of palate	C05	Malignant neoplasm of palate	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C05	C05.	c05	c05 malignant neoplasm of palate malignant neoplasms of lip oral cavity malignant neoplasm of palate		lip, oral cavity and pharynx			
C050	TRUE	Malignant neoplasm of hard palate	Malignant neoplasm of hard palate	C05	Malignant neoplasm of palate	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C05	C05.0	c050	c050 malignant neoplasm of hard palate malignant neoplasms of lip oral cavity malignant neoplasm of palate		lip, oral cavity and pharynx			
C051	TRUE	Malignant neoplasm of soft palate	Malignant neoplasm of soft palate	C05	Malignant neoplasm of palate	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C05	C05.1	c051	c051 malignant neoplasm of soft palate malignant neoplasms of lip oral cavity malignant neoplasm of palate		lip, oral cavity and pharynx			
C052	TRUE	Malignant neoplasm of uvula	Malignant neoplasm of uvula	C05	Malignant neoplasm of palate	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C05	C05.2	c052	c052 malignant neoplasm of uvula malignant neoplasms of lip oral cavity malignant neoplasm of palate		lip, oral cavity and pharynx			
C058	TRUE	Malignant neoplasm of overlapping sites of palate	Malignant neoplasm of overlapping sites of palate	C05	Malignant neoplasm of palate	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C05	C05.8	c058	c058 malignant neoplasm of overlapping sites of palate malignant neoplasms of lip oral cavity malignant neoplasm of palate		lip, oral cavity and pharynx			
C059	TRUE	Malignant neoplasm of palate, unspecified	Malignant neoplasm of palate, unspecified	C05	Malignant neoplasm of palate	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C05	C05.9	c059	c059 malignant neoplasm of palate unspecified malignant neoplasms of lip oral cavity malignant neoplasm of palate		lip, oral cavity and pharynx			
C06	FALSE	Malignant neoplasm of other and unspecified parts of mouth	Malignant neoplasm of other and unspecified parts of mouth	C06	Malignant neoplasm of other and unspecified parts of mouth	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C06	C06.	c06	c06 malignant neoplasm of other malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
C060	TRUE	Malignant neoplasm of cheek mucosa	Malignant neoplasm of cheek mucosa	C06	Malignant neoplasm of other and unspecified parts of mouth	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C06	C06.0	c060	c060 malignant neoplasm of cheek mucosa malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
C061	TRUE	Malignant neoplasm of vestibule of mouth	Malignant neoplasm of vestibule of mouth	C06	Malignant neoplasm of other and unspecified parts of mouth	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C06	C06.1	c061	c061 malignant neoplasm of vestibule of mouth malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
C062	TRUE	Malignant neoplasm of retromolar area	Malignant neoplasm of retromolar area	C06	Malignant neoplasm of other and unspecified parts of mouth	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C06	C06.2	c062	c062 malignant neoplasm of retromolar area malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
C068	FALSE	Malignant neoplasm of ovrlp sites of and unsp parts of mouth	Malignant neoplasm of overlapping sites of other and unspecified parts of mouth	C06	Malignant neoplasm of other and unspecified parts of mouth	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C06	C06.8	c068	c068 malignant neoplasm of overlapping sites of other malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
C0680	TRUE	Malignant neoplasm of ovrlp sites of unsp parts of mouth	Malignant neoplasm of overlapping sites of unspecified parts of mouth	C06	Malignant neoplasm of other and unspecified parts of mouth	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C06	C06.80	c0680	c0680 malignant neoplasm of overlapping sites of unspecified parts of mouth malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
C0689	TRUE	Malignant neoplasm of overlapping sites of oth prt mouth	Malignant neoplasm of overlapping sites of other parts of mouth	C06	Malignant neoplasm of other and unspecified parts of mouth	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C06	C06.89	c0689	c0689 malignant neoplasm of overlapping sites of other parts of mouth malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
C069	TRUE	Malignant neoplasm of mouth, unspecified	Malignant neoplasm of mouth, unspecified	C06	Malignant neoplasm of other and unspecified parts of mouth	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C06	C06.9	c069	c069 malignant neoplasm of mouth unspecified malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
C07	TRUE	Malignant neoplasm of parotid gland	Malignant neoplasm of parotid gland	C07	Malignant neoplasm of parotid gland	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C07	C07.	c07	c07 malignant neoplasm of parotid gland malignant neoplasms of lip oral cavity malignant neoplasm of parotid gland		lip, oral cavity and pharynx			
C08	FALSE	Malignant neoplasm of other and unsp major salivary glands	Malignant neoplasm of other and unspecified major salivary glands	C08	Malignant neoplasm of other and unsp major salivary glands	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C08	C08.	c08	c08 malignant neoplasm of other malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
C080	TRUE	Malignant neoplasm of submandibular gland	Malignant neoplasm of submandibular gland	C08	Malignant neoplasm of other and unsp major salivary glands	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C08	C08.0	c080	c080 malignant neoplasm of submandibular gland malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
C081	TRUE	Malignant neoplasm of sublingual gland	Malignant neoplasm of sublingual gland	C08	Malignant neoplasm of other and unsp major salivary glands	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C08	C08.1	c081	c081 malignant neoplasm of sublingual gland malignant neoplasms of lip oral cavity malignant neoplasm of other		lip, oral cavity and pharynx			
C089	TRUE	Malignant neoplasm of major salivary gland, unspecified	Malignant neoplasm of major salivary gland, unspecified	C08	Malignant neoplasm of other and unsp major salivary glands	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C08	C08.9	c089	c089 malignant neoplasm of major salivary gland unspecified malignant neoplasms of lip oral cavity malignant neoplasm of other	exocrine	﻿salivary gland			
C09	FALSE	Malignant neoplasm of tonsil	Malignant neoplasm of tonsil	C09	Malignant neoplasm of tonsil	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C09	C09.	c09	c09 malignant neoplasm of tonsil malignant neoplasms of lip oral cavity malignant neoplasm of tonsil		lip, oral cavity and pharynx			
C090	TRUE	Malignant neoplasm of tonsillar fossa	Malignant neoplasm of tonsillar fossa	C09	Malignant neoplasm of tonsil	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C09	C09.0	c090	c090 malignant neoplasm of tonsillar fossa malignant neoplasms of lip oral cavity malignant neoplasm of tonsil		lip, oral cavity and pharynx			
C091	TRUE	Malig neoplasm of tonsillar pillar (anterior) (posterior)	Malignant neoplasm of tonsillar pillar (anterior) (posterior)	C09	Malignant neoplasm of tonsil	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C09	C09.1	c091	c091 malignant neoplasm of tonsillar pillar anterior posterior malignant neoplasms of lip oral cavity malignant neoplasm of tonsil		lip, oral cavity and pharynx			
C098	TRUE	Malignant neoplasm of overlapping sites of tonsil	Malignant neoplasm of overlapping sites of tonsil	C09	Malignant neoplasm of tonsil	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C09	C09.8	c098	c098 malignant neoplasm of overlapping sites of tonsil malignant neoplasms of lip oral cavity malignant neoplasm of tonsil		lip, oral cavity and pharynx			
C099	TRUE	Malignant neoplasm of tonsil, unspecified	Malignant neoplasm of tonsil, unspecified	C09	Malignant neoplasm of tonsil	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C09	C09.9	c099	c099 malignant neoplasm of tonsil unspecified malignant neoplasms of lip oral cavity malignant neoplasm of tonsil		lip, oral cavity and pharynx			
C10	FALSE	Malignant neoplasm of oropharynx	Malignant neoplasm of oropharynx	C10	Malignant neoplasm of oropharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C10	C10.	c10	c10 malignant neoplasm of oropharynx malignant neoplasms of lip oral cavity malignant neoplasm of oropharynx	respiratory	lip, oral cavity and pharynx			
C100	TRUE	Malignant neoplasm of vallecula	Malignant neoplasm of vallecula	C10	Malignant neoplasm of oropharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C10	C10.0	c100	c100 malignant neoplasm of vallecula malignant neoplasms of lip oral cavity malignant neoplasm of oropharynx	respiratory	lip, oral cavity and pharynx			
C101	TRUE	Malignant neoplasm of anterior surface of epiglottis	Malignant neoplasm of anterior surface of epiglottis	C10	Malignant neoplasm of oropharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C10	C10.1	c101	c101 malignant neoplasm of anterior surface of epiglottis malignant neoplasms of lip oral cavity malignant neoplasm of oropharynx	respiratory	lip, oral cavity and pharynx			
C102	TRUE	Malignant neoplasm of lateral wall of oropharynx	Malignant neoplasm of lateral wall of oropharynx	C10	Malignant neoplasm of oropharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C10	C10.2	c102	c102 malignant neoplasm of lateral wall of oropharynx malignant neoplasms of lip oral cavity malignant neoplasm of oropharynx	respiratory	lip, oral cavity and pharynx			
C103	TRUE	Malignant neoplasm of posterior wall of oropharynx	Malignant neoplasm of posterior wall of oropharynx	C10	Malignant neoplasm of oropharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C10	C10.3	c103	c103 malignant neoplasm of posterior wall of oropharynx malignant neoplasms of lip oral cavity malignant neoplasm of oropharynx	respiratory	lip, oral cavity and pharynx			
C104	TRUE	Malignant neoplasm of branchial cleft	Malignant neoplasm of branchial cleft	C10	Malignant neoplasm of oropharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C10	C10.4	c104	c104 malignant neoplasm of branchial cleft malignant neoplasms of lip oral cavity malignant neoplasm of oropharynx	respiratory	lip, oral cavity and pharynx			
C108	TRUE	Malignant neoplasm of overlapping sites of oropharynx	Malignant neoplasm of overlapping sites of oropharynx	C10	Malignant neoplasm of oropharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C10	C10.8	c108	c108 malignant neoplasm of overlapping sites of oropharynx malignant neoplasms of lip oral cavity malignant neoplasm of oropharynx	respiratory	lip, oral cavity and pharynx			
C109	TRUE	Malignant neoplasm of oropharynx, unspecified	Malignant neoplasm of oropharynx, unspecified	C10	Malignant neoplasm of oropharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C10	C10.9	c109	c109 malignant neoplasm of oropharynx unspecified malignant neoplasms of lip oral cavity malignant neoplasm of oropharynx	respiratory	lip, oral cavity and pharynx			
C11	FALSE	Malignant neoplasm of nasopharynx	Malignant neoplasm of nasopharynx	C11	Malignant neoplasm of nasopharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C11	C11.	c11	c11 malignant neoplasm of nasopharynx malignant neoplasms of lip oral cavity malignant neoplasm of nasopharynx	respiratory	lip, oral cavity and pharynx			
C110	TRUE	Malignant neoplasm of superior wall of nasopharynx	Malignant neoplasm of superior wall of nasopharynx	C11	Malignant neoplasm of nasopharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C11	C11.0	c110	c110 malignant neoplasm of superior wall of nasopharynx malignant neoplasms of lip oral cavity malignant neoplasm of nasopharynx	respiratory	lip, oral cavity and pharynx			
C111	TRUE	Malignant neoplasm of posterior wall of nasopharynx	Malignant neoplasm of posterior wall of nasopharynx	C11	Malignant neoplasm of nasopharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C11	C11.1	c111	c111 malignant neoplasm of posterior wall of nasopharynx malignant neoplasms of lip oral cavity malignant neoplasm of nasopharynx	respiratory	lip, oral cavity and pharynx			
C112	TRUE	Malignant neoplasm of lateral wall of nasopharynx	Malignant neoplasm of lateral wall of nasopharynx	C11	Malignant neoplasm of nasopharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C11	C11.2	c112	c112 malignant neoplasm of lateral wall of nasopharynx malignant neoplasms of lip oral cavity malignant neoplasm of nasopharynx	respiratory	lip, oral cavity and pharynx			
C113	TRUE	Malignant neoplasm of anterior wall of nasopharynx	Malignant neoplasm of anterior wall of nasopharynx	C11	Malignant neoplasm of nasopharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C11	C11.3	c113	c113 malignant neoplasm of anterior wall of nasopharynx malignant neoplasms of lip oral cavity malignant neoplasm of nasopharynx	respiratory	lip, oral cavity and pharynx			
C118	TRUE	Malignant neoplasm of overlapping sites of nasopharynx	Malignant neoplasm of overlapping sites of nasopharynx	C11	Malignant neoplasm of nasopharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C11	C11.8	c118	c118 malignant neoplasm of overlapping sites of nasopharynx malignant neoplasms of lip oral cavity malignant neoplasm of nasopharynx	respiratory	lip, oral cavity and pharynx			
C119	TRUE	Malignant neoplasm of nasopharynx, unspecified	Malignant neoplasm of nasopharynx, unspecified	C11	Malignant neoplasm of nasopharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C11	C11.9	c119	c119 malignant neoplasm of nasopharynx unspecified malignant neoplasms of lip oral cavity malignant neoplasm of nasopharynx	respiratory	lip, oral cavity and pharynx			
C12	TRUE	Malignant neoplasm of pyriform sinus	Malignant neoplasm of pyriform sinus	C12	Malignant neoplasm of pyriform sinus	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C12	C12.	c12	c12 malignant neoplasm of pyriform sinus malignant neoplasms of lip oral cavity malignant neoplasm of pyriform sinus		lip, oral cavity and pharynx			
C13	FALSE	Malignant neoplasm of hypopharynx	Malignant neoplasm of hypopharynx	C13	Malignant neoplasm of hypopharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C13	C13.	c13	c13 malignant neoplasm of hypopharynx malignant neoplasms of lip oral cavity malignant neoplasm of hypopharynx	respiratory	lip, oral cavity and pharynx			
C130	TRUE	Malignant neoplasm of postcricoid region	Malignant neoplasm of postcricoid region	C13	Malignant neoplasm of hypopharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C13	C13.0	c130	c130 malignant neoplasm of postcricoid region malignant neoplasms of lip oral cavity malignant neoplasm of hypopharynx	respiratory	lip, oral cavity and pharynx			
C131	TRUE	Malig neoplasm of aryepiglottic fold, hypopharyngeal aspect	Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect	C13	Malignant neoplasm of hypopharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C13	C13.1	c131	c131 malignant neoplasm of aryepiglottic fold hypopharyngeal aspect malignant neoplasms of lip oral cavity malignant neoplasm of hypopharynx	respiratory	lip, oral cavity and pharynx			
C132	TRUE	Malignant neoplasm of posterior wall of hypopharynx	Malignant neoplasm of posterior wall of hypopharynx	C13	Malignant neoplasm of hypopharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C13	C13.2	c132	c132 malignant neoplasm of posterior wall of hypopharynx malignant neoplasms of lip oral cavity malignant neoplasm of hypopharynx	respiratory	lip, oral cavity and pharynx			
C138	TRUE	Malignant neoplasm of overlapping sites of hypopharynx	Malignant neoplasm of overlapping sites of hypopharynx	C13	Malignant neoplasm of hypopharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C13	C13.8	c138	c138 malignant neoplasm of overlapping sites of hypopharynx malignant neoplasms of lip oral cavity malignant neoplasm of hypopharynx	respiratory	lip, oral cavity and pharynx			
C139	TRUE	Malignant neoplasm of hypopharynx, unspecified	Malignant neoplasm of hypopharynx, unspecified	C13	Malignant neoplasm of hypopharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C13	C13.9	c139	c139 malignant neoplasm of hypopharynx unspecified malignant neoplasms of lip oral cavity malignant neoplasm of hypopharynx	respiratory	lip, oral cavity and pharynx			
C14	FALSE	Malig neoplasm of sites in the lip, oral cavity and pharynx	Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx	C14	Malig neoplasm of sites in the lip, oral cavity and pharynx	Malignant Neoplasms Of Lip, Oral Cavity And Pharynx	Neoplasms	C14	C14.	c14	c14 malignant neoplasm of other malignant neoplasms of lip oral cavity malig neoplasm of sites in the lip oral cavity		lip, oral cavity and pharynx			
