tumor_type	disease_name	doid	icd10	do_name	abbr
soft tissue sarcoma	soft tissue sarcoma				
lung adenocarcinoma	lung adenocarcinoma	3910		lung adenocarcinoma	LUAD
oral SCC	oral squamous cell carcinoma	0050866		oral squamous cell carcinoma	
renal cell carcinoma	renal cell carcinoma	4450		renal cell carcinoma	RCC
oesophageal SCC	oesophageal squamous cell carcinoma				
medulloblastoma	medulloblastoma	0050902		medulloblastoma	MBL
medulloblastoma	medulloblastoma	0050902		medulloblastoma	MB
CRC	Colorectal carcinoma	0080199		colorectal carcinoma	CRC
malignant mesothelioma	malignant mesothelioma	1790		malignant mesothelioma	
oesophageal squamous cell carcinoma	oesophageal squamous cell carcinoma				
urothelial cancer	urothelial cancer				
parathyroid tumours	parathyroid tumor				
pancreatic neuroendocrine tumour	pancreatic neuroendocrine tumour				
CNS tumours	CNS tumor				
small cell lung carcinoma	small cell lung carcinoma	5409		lung small cell carcinoma	SCLC
papillary thyroid	papillary thyroid				
NHL	B-cell non-Hodgkin lymphoma				NHL
B-ALL	B-ALL				B-ALL
clear cell renal carcinoma	clear cell renal cell carcinoma	4467		clear cell renal cell carcinoma	CCRCC
breast cancer	breast cancer	1612	C50|C50-C50	breast cancer	
kidney cancer	kidney cancer	263	C64	kidney cancer	
HNSCC	head and neck squamous cell carcinoma	5520		head and neck squamous cell carcinoma	HNSC
HNSCC	head and neck squamous cell carcinoma	5520		head and neck squamous cell carcinoma	HNSCC
pilocytic astrocytoma	pilocytic astrocytoma	4851		pilocytic astrocytoma	PAST
Hodgkin lymphoma	Hodgkin lymphoma	8567	C81|C81.9	Hodgkin's lymphoma	HL
endometrium	endometrium				
small intestine	small intestine				
oesophageal squamous carcinoma	oesophageal squamous carcinoma				
multiple myeloma	multiple myeloma	9538	C90.0|C90.00	multiple myeloma	MM
marginal zone B-cell lymphomas	marginal zone B-cell lymphoma	0050748		marginal zone B-cell lymphoma	
PMBL	primary mediastinal B-cell lymphoma	0080210	C85.2	primary mediastinal B-cell lymphoma	PMBL
pulmonary lymphangioleiomyomatosis (LAM)	pulmonary lymphangioleiomyomatosis	3319		lymphangioleiomyomatosis	
renal angiomyolipoma	renal angiomyolipoma	8411		kidney angiomyolipoma	RAML
haemangioma	haemangioma				
pheochromocytoma	pheochromocytoma	0050771		pheochromocytoma	PHC
desmoplastic small round cell tumour	desmoplastic small round cell tumour				
CML	CML	8552		chronic myeloid leukemia	CML
Non-Hodgkin lymphoma	Non-Hodgkin lymphoma	0060060		non-Hodgkin lymphoma	NHL
Non-Hodgkin lymphoma	Non-Hodgkin lymphoma	0060060		non-Hodgkin lymphoma	B-NHL
T-cell lymphoma	T-cell lymphoma				
THCA	thyroid gland carcinoma	3963		thyroid gland carcinoma	THCA
Papillary thyroid carcinomas (PTCs)	thyroid gland papillary carcinoma	3969		thyroid gland papillary carcinoma	
congenital fibrosarcoma	congenital fibrosarcoma	8418		congenital fibrosarcoma	
secretory breast	breast secretory carcinoma	4922		breast secretory carcinoma	
PA	Pylocytic astrocytoma				PA
Papillary Thyroid Carcinoma	thyroid gland papillary carcinoma	3969		thyroid gland papillary carcinoma	
medullary thyroid	medullary thyroid				
Glioblastoma	Glioblastoma				GB
cholangiocarcinoma	cholangiocarcinoma	4947	C22.1	cholangiocarcinoma	CHOL
borderline ovarian	borderline ovarian				
Acute Lymphoblastic Leukemia (ALL)	Acute Lymphoblastic Leukemia	9952	C91.0|C91.00	acute lymphocytic leukemia	ALL
Synovial Sarcoma	Synovial Sarcoma	5485		synovial sarcoma	SYNS
synovial sarcoma	synovial sarcoma	5485		synovial sarcoma	SYNS
Aneurysmal Bone Cyst	Aneurysmal Bone Cyst				
aneurysmal bone cyst	aneurysmal bone cyst				
Acute Megakaryoblastic Leukemia (AMKL| FAB-M7)	Acute Megakaryoblastic Leukemia	8761	C94.2|C94.20	megakaryocytic leukemia	AMKL
Papillary Thyroid Carcinomas (PTCs)	Papillary Thyroid Carcinomas				
Acute Myeloid Leukemia of M4EO Subtype	Acute Myeloid Leukemia of M4EO Subtype				
Childhood Acute Lymphoblastic Leukemia (ALL)	Childhood Acute Lymphoblastic Leukemia	0080144		childhood acute lymphocytic leukemia	
Acute Leukemia	Acute Leukemia	12603		acute leukemia	
Therapy-Related Myeloid Malignancies	Therapy-Related Myeloid Malignancies				
pre B-ALL	pre B-ALL				
Salivary Gland Pleiomorphic Adenoma	Salivary Gland Pleiomorphic Adenoma				
Lipoblastoma	Lipoblastoma				
salivary adenoma	salivary adenoma				
lipoblastoma	lipoblastoma				
T-cell acute lymphoblastic leukemias (T-ALL)	T-cell acute lymphoblastic leukemias				
Acute Myeloid Leukemia	Acute Myeloid Leukemia	9119		acute myeloid leukemia	AML
Therapy-Related Myelodysplastic Syndrome	Therapy-Related Myelodysplastic Syndrome				TMDS
Alveolar Soft Part Sarcoma	Alveolar Soft Part Sarcoma	4239		alveolar soft part sarcoma	ASPS
Papillary Renal Cell Carcinoma	Papillary Renal Cell Carcinoma	4465		papillary renal cell carcinoma	PRCC
papillary renal	papillary renal cell carcinoma	4465		papillary renal cell carcinoma	PRCC
alveolar soft part sarcoma	alveolar soft part sarcoma	4239		alveolar soft part sarcoma	ASPS
Myeloproliferative disorder chronic with eosinophilia (MPE)	Myeloproliferative disorder chronic with eosinophilia	0111344		myeloproliferative disorder with eosinophilia	
MPN	myeloproliferative neoplasm	2226	D47.1	myeloproliferative neoplasm	MPN
CMML	chronic myelomonocytic leukemia	0080188		chronic myelomonocytic leukemia	CMML
Myelodysplastic syndrome (MDS)	Myelodysplastic syndrome	0050908		myelodysplastic syndrome	
acute megakaryocytic leukaemia	megakaryocytic leukemia	8761	C94.2|C94.20	megakaryocytic leukemia	
Rhabdomyosarcoma	Rhabdomyosarcoma	3247		rhabdomyosarcoma	RMS
alveolar rhabdomyosarcoma	alveolar rhabdomyosarcoma	4051		alveolar rhabdomyosarcoma	ARMS
Acute myeloid leukemia of M4EO subtype	Acute myeloid leukemia of M4EO subtype				
Acute leukemias	Acute leukemias				
Alveolar soft part sarcoma	Alveolar soft part sarcoma	4239		alveolar soft part sarcoma	ASPS
multiple different leukaemia and lymphoma tumour types including ALL	multiple different leukaemia and lymphoma tumour types including ALL				
MDS	MDS	0060469	Q93.88	Miller-Dieker lissencephaly syndrome	MDS
Acute myeloid leukemia (AML)	Acute myeloid leukemia	9119		acute myeloid leukemia	AML
Ewing sarcoma (ES)	Ewing sarcoma	3369		Ewing sarcoma	ES
Angiomatoid fibrous histiocytoma (AFH)	Angiomatoid fibrous histiocytoma				AFH
desmoplastic small round cell tumour 	desmoplastic small round cell tumour 				
clear cell sarcoma	clear cell sarcoma	4233		clear cell sarcoma	CCS
myoepithelioma	myoepithelioma	2661		myoepithelioma	
mesothelioma	mesothelioma				
Pilocytic astrocytomas	Pilocytic astrocytomas				
pancreas acinar carcinoma	pancreas acinar carcinoma				
melanocytic nevus	melanocytic nevus				
lipoma	lipoma	3315	D17|D17.9	lipoma	
AL	AL				AL
malignant melanoma of soft parts	malignant melanoma of soft parts	4233		clear cell sarcoma	CCS
angiomatoid fibrous histiocytoma	angiomatoid fibrous histiocytoma				AFH
APL (translocation)	APL				
gastric adenocarcinoma	gastric adenocarcinoma	3717		gastric adenocarcinoma	
lethal midline carcinoma of young people	lethal midline carcinoma of young people				
epithelioid haemangioendothelioma	epithelioid haemangioendothelioma				
JMML	juvenile myelomonocytic leukemia	0050458	C93.3|C93.30	juvenile myelomonocytic leukemia	JMML
leiomyoma	leiomyoma	127		leiomyoma	LM
oligodendroglioma	oligodendroglioma	3181		oligodendroglioma	ODG
myxofibrosarcoma	myxofibrosarcoma	0080534		myxofibrosarcoma	MFS
fibromyxoid sarcoma	fibromyxoid sarcoma	0080534		myxofibrosarcoma	MFS
B-NHL	non-Hodgkin lymphoma	0060060		non-Hodgkin lymphoma	NHL
B-NHL	non-Hodgkin lymphoma	0060060		non-Hodgkin lymphoma	B-NHL
Downs associated ALL	Downs associated ALL				
salivary gland mucoepidermoid	salivary gland mucoepidermoid				
pleomorphic salivary gland adenoma	pleomorphic salivary gland adenoma				
liposarcoma	liposarcoma	3382		liposarcoma	LIPO
AML*	AML*				AML*
prostate carcinoma	prostate carcinoma	10286		prostate carcinoma	
oesophagus cancer	oesophagus cancer				
mesenchymal chondrosarcoma	mesenchymal chondrosarcoma	4545		mesenchymal chondrosarcoma	MCHS
microfollicular thyroid adenoma	microfollicular thyroid adenoma				
various benign mesenchymal tumours	various benign mesenchymal tumor				
leukaemia	leukaemia				
renal cell carcinoma (childhood epithelioid)	renal cell carcinoma	4450		renal cell carcinoma	RCC
lung	lung				LUNG
T cell prolymphocytic leukaemia	T-cell prolymphocytic leukaemia				
adenoid cystic carcinoma	adenoid cystic carcinoma	0080202		adenoid cystic carcinoma	ACYC
solitary fibrous tumour	solitary fibrous tumour				
meningeal haemangiopericytoma	meningeal haemangiopericytoma				
chondrosarcoma	chondrosarcoma	3371		chondrosarcoma	CHS
rhabdomyosarcoma	rhabdomyosarcoma	3247		rhabdomyosarcoma	RMS
skin SCC	skin squamous cell carcinoma	3151		skin squamous cell carcinoma	
lung SCC	lung squamous cell carcinoma	3907		lung squamous cell carcinoma	LUSC
head and neck SCC	head and neck squamous cell carcinoma	5520		head and neck squamous cell carcinoma	HNSC
head and neck SCC	head and neck squamous cell carcinoma	5520		head and neck squamous cell carcinoma	HNSCC
APL	acute promyelocytic leukemia	0060318	C92.4|C92.40	acute promyelocytic leukemia	APL
extraskeletal myxoid chondrosarcoma	extraskeletal myxoid chondrosarcoma	6496		extraskeletal myxoid chondrosarcoma	EMCHS
lethal midline carcinoma	lethal midline carcinoma				
Down syndrome associated ALL	Down syndrome associated ALL				
DFSP	dermatofibrosarcoma protuberans	3507		dermatofibrosarcoma protuberans	DFSP
GIST	GIST	9253	C49.A	gastrointestinal stromal tumor	GIST
idiopathic hypereosinophilic syndrome	idiopathic hypereosinophilic syndrome				
paediatric glioblastoma	paediatric glioblastoma				
angiosarcoma	angiosarcoma	0001816		angiosarcoma	ANGS
follicular thyroid	follicular thyroid				
uterine leiomyoma	uterine leiomyoma	13223	D25|D25.9	uterine fibroid	ULM
aCML	aCML	0060597	C92.2|C92.20	atypical chronic myeloid leukemia	
sAML	sAML				
MDS/MPN-U	MDS/MPN-U				MDS/MPN-U
follicular lymphoma	follicular lymphoma	0050873		follicular lymphoma	FL
large granular lymphocytic leukaemia	large granular lymphocytic leukaemia	0050751		T-cell large granular lymphocyte leukemia	
skin basal cell	skin basal cell				
endometrial stromal tumour	endometrial stromal tumour				
peripheral T-cell lymphoma	peripheral T-cell lymphoma	0050749		peripheral T-cell lymphoma	
lymphoblastic leukaemia/biphasic	lymphoblastic leukaemia/biphasic				
splenic marginal zone lymphoma	splenic marginal zone lymphoma	0050750		splenic marginal zone lymphoma	SMZL
primary central nervous system lymphoma	primary central nervous system lymphoma				
colorectal carcinoma	colorectal carcinoma	0080199		colorectal carcinoma	CRC
gallbladder carcinoma	gallbladder carcinoma	4948		gallbladder carcinoma	
T-CLL	T-CLL				T-CLL
myxoid chondrosarcoma	myxoid chondrosarcoma	5861		myxoid chondrosarcoma	MYCHS
intestinal T-cell lymphoma	intestinal T-cell lymphoma				
adrenocortical	adrenocortical				
endometrial stromal sarcoma	endometrial stromal sarcoma	4226		endometrial stromal sarcoma	ESS
follicular thyroid adenoma	follicular adenoma	6204		follicular adenoma	
large intestine carcinoma	large intestine carcinoma				
stomach carcinoma	stomach carcinoma	5517		stomach carcinoma	
pancreatic carcinoma	pancreatic carcinoma	4905		pancreatic carcinoma	
biliary tract	biliary tract				BILIARY_TRACT
oesophagus	oesophagus				
CCRCC	clear cell renal cell carcinoma	4467		clear cell renal cell carcinoma	CCRCC
epithelial ovarian	epithelial ovarian				
myeloma	myeloma	0070004		myeloid neoplasm	MNM
pancreatic neuroendocrine tumours	pancreatic neuroendocrine tumor				PANET
paediatric GBM	paediatric GBM				
colorectal adenocarcinoma	colorectal adenocarcinoma	0050861		colorectal adenocarcinoma	COADREAD
colorectal adenocarcinoma	colorectal adenocarcinoma	0050861		colorectal adenocarcinoma	COREAD
uveal melanoma	uveal melanoma	6039		uveal melanoma	UM
colorectal cancer	colorectal cancer	9256		colorectal cancer	
endometrial carcinoma	endometrial carcinoma	2871		endometrial carcinoma	UCEC
gastric cancer	gastric cancer	10534	C16|C16.2|C16.5|C16.6|C16.9	stomach cancer	
hepatocellular	hepatocellular				
oral squamous cell	oral squamous cell carcinoma	0050866		oral squamous cell carcinoma	
WM	WM				WM
parathyroid adenoma	parathyroid adenoma	7608		parathyroid adenoma	
lobular breast	breast lobular carcinoma	0050938		breast lobular carcinoma	
bladder cancer	bladder cancer	11054	C67|C67.9	urinary bladder cancer	
small intestine neuroendocrine tumours	small intestine neuroendocrine tumor	4434		small intestine neuroendocrine neoplasm	
large intestine	large intestine				
monoclonal B lymphocytosis	monoclonal B lymphocytosis				
uterine serous carcinoma	uterine serous carcinoma	5750		uterine corpus serous adenocarcinoma	
cylindroma	cylindroma	4866		salivary gland adenoid cystic carcinoma	
sex cord-stromal tumour	sex cord-stromal tumour				
TGCT	tenosynovial giant cell tumor	314		tenosynovial giant cell tumor	TGCT
embryonal rhabdomyosarcoma	embryonal rhabdomyosarcoma	3246		embryonal rhabdomyosarcoma	ERMS
pleuropulmonary blastoma	pleuropulmonary blastoma	4769		pleuropulmonary blastoma	PPB
pituitary blastoma	pituitary blastoma				
thyroid cancer	thyroid gland cancer	1781	C73	thyroid gland cancer	
malignant peripheral nerve sheath tumours	malignant peripheral nerve sheath tumor	5940		malignant peripheral nerve sheath tumor	MPNST
MDS and related	MDS and related				
pancreatic cancer	pancreatic cancer	1793	C25.0|C25.1|C25.2	pancreatic cancer	
chemorefractory CLL	chemorefractory CLL				
head and neck	head and neck cancer	11934		head and neck cancer	
pancreatic acinar cell carcinoma	pancreatic acinar cell carcinoma	5742		pancreatic acinar cell adenocarcinoma	
ovarian carcinoma	ovarian carcinoma	4001		ovarian carcinoma	
megakaryoblastic leukaemia of Downs syndrome	megakaryoblastic leukaemia of Downs syndrome				
gastric carcinoma	gastric carcinoma	5517		stomach carcinoma	
lung carcinoma	lung carcinoma	3905	C34.90	lung carcinoma	
endometrioid carcinoma	endometrioid carcinoma	2871		endometrial carcinoma	UCEC
hepatic adenoma	hepatic adenoma				
breast carcinoma	breast carcinoma	3459		breast carcinoma	BRCA
luminal A breast	luminal A breast				
colon carcinoma	colon carcinoma	1520		colon carcinoma	
fibroadenoma	fibroadenoma	1618	D24	breast fibroadenoma	FA
phyllodes tumour	phyllodes tumour				
desmoplastic melanoma	desmoplastic melanoma	3162		malignant spindle cell melanoma	DESM
marginal zone lymphoma	marginal zone lymphoma	0050748		marginal zone B-cell lymphoma	MZL
biliary tract carcinoma	biliary tract carcinoma				
ETP ALL	ETP ALL				ETP ALL
colon adenocarcinoma	colon adenocarcinoma	234		colon adenocarcinoma	COAD
angiocentric glioma	angiocentric glioma				ANGL
carcinoma	carcinoma	305		carcinoma	
diffuse gastric	gastric diffuse adenocarcinoma	6217		gastric diffuse adenocarcinoma	
T cell lymphomas	T-cell lymphoma				
paediatric Burkitt lymphoma	paediatric Burkitt lymphoma				
ovary	ovary				
pancreas	pancreas				PANCREAS
prostate cancer	prostate cancer	10283	C61	prostate cancer	
erythrocytosis	erythrocytosis				
Lung SCC	Lung squamous cell carcinoma	3907		lung squamous cell carcinoma	LUSC
SCCOHT	small-cell carcinoma of the ovary of hypercalcemic type	7651		small-cell carcinoma of the ovary of hypercalcemic type	SCCOHT
SMZL	splenic marginal zone lymphoma	0050750		splenic marginal zone lymphoma	SMZL
Ewing's sarcoma	Ewing sarcoma	3369		Ewing sarcoma	ES
myeloid neoplasms	myeloid neoplasm	0070004		myeloid neoplasm	MNM
skin	skin				SKIN
mantle cell lymphoma	mantle cell lymphoma	0050746		mantle cell lymphoma	MCL
adrenocortical carcinoma	adrenocortical carcinoma	3948		adrenocortical carcinoma	ACC
STAD	Stomach adenocarcinoma	3717		gastric adenocarcinoma	STAD
ESCA	Esophageal carcinoma	1107		esophageal carcinoma	ESCA
DLBC	diffuse large B cell lymphoma				DLBC
PAAD	Pancreatic adenocarcinoma	4074		pancreatic adenocarcinoma	PAAD
HC	Hepatocarcinoma				HC
SCLC	Small cell lung carcinoma	5409		lung small cell carcinoma	SCLC
NB	Neuroblastoma	769		neuroblastoma	NBL
NB	Neuroblastoma	769		neuroblastoma	NB
Breast cancer (BC)	Breast cancer	1612		breast cancer	
Colorectal cancer (CRC)	Colorectal cancer	9256		colorectal cancer	
Ovarian cancer.	Ovarian cancer	2394		ovarian cancer	
Cowden syndrome 6 (CWS6)	Cowden syndrome 6				
					
Neuroblastoma 3 (NBLST3)	Neuroblastoma 3				
Familial adenomatous polyposis (FAP)	Familial adenomatous polyposis	0050424		familial adenomatous polyposis	
Hereditary desmoid disease (HDD)	Hereditary desmoid disease	0111349		hereditary desmoid disease	
Medulloblastoma (MDB)	Medulloblastoma	0050902		medulloblastoma	MBL
Medulloblastoma (MDB)	Medulloblastoma	0050902		medulloblastoma	MB
Gastric cancer (GASC)	Gastric cancer	10534	C16|C16.2|C16.5|C16.6|C16.9	stomach cancer	
Hepatocellular carcinoma (HCC)	Hepatocellular carcinoma	684		hepatocellular carcinoma	HCC
Leukemia juvenile myelomonocytic (JMML)	Leukemia juvenile myelomonocytic	0050458	C93.3|C93.30	juvenile myelomonocytic leukemia	JMML
MB	Medulloblastoma	0050902		medulloblastoma	MBL
MB	Medulloblastoma	0050902		medulloblastoma	MB
Taxia telangiectasia (AT)	ataxia telangiectasia	12704		ataxia telangiectasia	
T-cell acute lymphoblastic leukemia (TALL)	T-cell acute lymphoblastic leukemia	5603	C91.5|C91.50	T-cell acute lymphoblastic leukemia	
B-cell non-Hodgkin lymphomas (BNHL)	B-cell non-Hodgkin lymphoma				NHL
B-cell chronic lymphocytic leukemia (BCLL)	B-cell chronic lymphocytic leukemia	1040	C91.1|C91.10	chronic lymphocytic leukemia	CLL
Mantle cell lymphoma (MCL)	Mantle cell lymphoma	0050746		mantle cell lymphoma	MCL
T-prolymphocytic leukemia (TPLL)	T-prolymphocytic leukemia				
Cancer	Cancer	162		cancer	
Lung cancer (LNCR)	Lung cancer	1324		lung cancer	
Familial non-Hodgkin lymphoma (NHL)	Familial non-Hodgkin lymphoma				
Noonan syndrome 7 (NS7)	Noonan syndrome 7	0060585	Q87.1	Noonan syndrome 7	
Breast-ovarian cancer familial 1 (BROVCA1)	Breast-ovarian cancer familial 1				
Ovarian cancer (OC)	Ovarian cancer	2394		ovarian cancer	
Pancreatic cancer 4 (PNCA4)	Pancreatic cancer 4				
Fanconi anemia complementation group S (FANCS)	Fanconi anemia complementation group S				
Pancreatic cancer 2 (PNCA2)	Pancreatic cancer 2				
Breast-ovarian cancer familial 2 (BROVCA2)	Breast-ovarian cancer familial 2				
Fanconi anemia complementation group D1 (FANCD1)	Fanconi anemia complementation group D1	0111089		Fanconi anemia complementation group D1	
Glioma 3 (GLM3)	Glioma 3				
Hyperparathyroidism 1 (HRPT1)	Hyperparathyroidism 1				
Hyperparathyroidism 2 with jaw tumors (HRPT2)	Hyperparathyroidism 2 with jaw tumors				
Parathyroid carcinoma (PRTC)	Parathyroid carcinoma	1540		parathyroid carcinoma	PTHC
Multiple endocrine neoplasia 4 (MEN4)	Multiple endocrine neoplasia 4				
Melanoma-astrocytoma syndrome (MASTS)	Melanoma-astrocytoma syndrome	0111511		melanoma and neural system tumor syndrome	
Melanoma cutaneous malignant 2 (CMM2)	Melanoma cutaneous malignant 2				
Familial atypical multiple mole melanoma-pancreatic carcinoma syndrome (FAMMMPC)	Familial atypical multiple mole melanoma-pancreatic carcinoma syndrome				
Li-Fraumeni syndrome 2 (LFS2)	Li-Fraumeni syndrome 2	0111504		Li-Fraumeni syndrome 2	
Prostate cancer (PC)	Prostate cancer	10283		prostate cancer	
Osteogenic sarcoma (OSRC)	Osteogenic sarcoma	3347		osteosarcoma	OS
head and neck cancer	head and neck cancer	11934		head and neck cancer	
Cylindromatosis familial (FCYL)	Cylindromatosis familial				
Multiple familial trichoepithelioma 1 (MFT1)	Multiple familial trichoepithelioma 1				
Brooke-Spiegler syndrome (BRSS)	Brooke-Spiegler syndrome	0050693		Brooke-Spiegler syndrome	
colon	colon				
nasal NK/T lymphoma	nasal NK/T lymphoma				
skin squamous cell carcinoma-burn scar related	skin squamous cell carcinoma-burn scar related				
Leukemia acute myelogenous (AML)	Leukemia acute myelogenous	9119	C92.0|C92.00	acute myeloid leukemia	AML
primary central nervous system melanocytic neoplasms	primary central nervous system melanocytic neoplasm				
pituitary adenoma	pituitary adenoma	3829		pituitary adenoma	PTAD
pancreatic intraductal papillary mucinous neoplasm	pancreatic intraductal papillary-mucinous neoplasm	7575		pancreatic intraductal papillary-mucinous neoplasm	
fibrous dysplasia	fibrous dysplasia	0080031		fibrous dysplasia	
ACTH-independent macronodular adrenal hyperplasia 1 (AIMAH1)	ACTH-independent macronodular adrenal hyperplasia 1	0111623		ACTH-independent macronodular adrenal hyperplasia 1	
infrequent sarcomas	infrequent sarcomas				
rare other tumour types	rare other tumour types				
Costello syndrome (CSTLO)	Costello syndrome	0050469		Costello syndrome	
Thyroid cancer non-medullary 2 (NMTC2)	Thyroid cancer non-medullary 2				
Schimmelpenning-Feuerstein-Mims syndrome (SFM)	linear nevus sebaceous syndrome	0111530		linear nevus sebaceous syndrome	
Bladder cancer (BLC)	Bladder cancer	11054	C67|C67.9	urinary bladder cancer	
quamous cell carcinoma of the head and neck (HNSCC)	squamous cell carcinoma of the head and neck	5520		head and neck squamous cell carcinoma	HNSC
quamous cell carcinoma of the head and neck (HNSCC)	squamous cell carcinoma of the head and neck	5520		head and neck squamous cell carcinoma	HNSCC
mastocytosis	mastocytosis	350	D47.09|D89.40|Q82.2	mastocytosis	MCD
mucosal melanoma	mucosal melanoma	0050929		mucosal melanoma	
Mastocytosis systemic (MASTSYS)	Mastocytosis systemic	349	D47.02	systemic mastocytosis	SM
Gastrointestinal stromal tumor (GIST)	Gastrointestinal stromal tumor	9253		gastrointestinal stromal tumor	GIST
Testicular germ cell tumor (TGCT)	Testicular germ cell tumor				
thyroid	thyroid				THYROID
Noonan syndrome 3 (NS3)	Noonan syndrome 3	0060581	Q87.1	Noonan syndrome 3	
Pylocytic astrocytoma (PA).	Pylocytic astrocytoma				PA
head-neck squamous cell	head and neck squamous cell carcinoma	5520		head and neck squamous cell carcinoma	HNSC
head-neck squamous cell	head and neck squamous cell carcinoma	5520		head and neck squamous cell carcinoma	HNSCC
Cancer of unknown primary origin (CUP)	Cancer of unknown primary origin				
Gastric cancer	Gastric cancer	10534	C16|C16.2|C16.5|C16.6|C16.9	stomach cancer	
Renal cell carcinoma papillary (RCCP)	Renal cell carcinoma papillary	4465		papillary renal cell carcinoma	PRCC
Primary occult malignancy	Primary occult malignancy				
